2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'roleMenuDOMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'roleMenuDOMapper' of type [com.sun.proxy.$Proxy61] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'roleServiceImpl' of type [com.cc.service.serviceImpl.RoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'userRoleServiceImpl' of type [com.cc.service.serviceImpl.UserRoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'roleMenuServiceImpl' of type [com.cc.service.serviceImpl.RoleMenuServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'menuDOMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'menuDOMapper' of type [com.sun.proxy.$Proxy62] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'menuServiceImpl' of type [com.cc.service.serviceImpl.MenuServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'myShiroRealm' of type [com.cc.config.ConfigRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-11 17:19:29 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:326 | Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
